"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","VEGETABLE TOTALS, (EXCL POTATOES), INCL STRAWBERRIES, IN THE OPEN - PEST MGMT, MEASURED IN PCT OF AREA PLANTED  -  <b>VALUE</b>","VEGETABLE TOTALS, (EXCL POTATOES), INCL STRAWBERRIES, IN THE OPEN - PEST MGMT, MEASURED IN PCT OF AREA PLANTED  -  <b>CV (%)</b>","VEGETABLE TOTALS, (EXCL POTATOES), INCL STRAWBERRIES, IN THE OPEN - PEST MGMT, MEASURED IN PCT OF OPERATIONS  -  <b>VALUE</b>","VEGETABLE TOTALS, (EXCL POTATOES), INCL STRAWBERRIES, IN THE OPEN - PEST MGMT, MEASURED IN PCT OF OPERATIONS  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS BY DELIBERATELY GOING TO THE CROP ACRES OR GROWING AREAS)","88","","72",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY EMPLOYEE)","20","","3",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","8","","4",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","27","","5",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","34","","73",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY OTHER)"," (Z)",""," (Z)",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY PROCESSOR)","11","","14",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES)","99","","95",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY EMPLOYEE)","20","","3",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","9","","4",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","27","","5",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","33","","73",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY OTHER)"," (Z)",""," (Z)",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY PROCESSOR)","11","","14",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES)","99","","96",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY EMPLOYEE)","21","","4",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","8","","4",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","25","","4",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","37","","78",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY OTHER)"," (Z)",""," (Z)",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY PROCESSOR)","8","","9",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS)","98","","95",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (WEATHER DATA USED TO ASSIST DECISIONS)","85","","68",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (WRITTEN OR ELECTRONIC RECORDS KEPT TO TRACK THE ACTIVITY OF PESTS)","74","","35",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (CROP ACRES CULTIVATED FOR WEED CONTROL)","75","","65",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (EQUIPMENT & IMPLEMENTS CLEANED AFTER FIELD WORK TO REDUCE SPREAD OF PESTS)","83","","70",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (FIELD EDGES, DITCHES, OR FENCE LINES WERE CHOPPED, SPRAYED, MOWED, PLOWED, OR BURNED)","78","","61",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (NO-TILL OR MINIMUM TILL USED)","35","","27",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (PLOWED DOWN CROP RESIDUE USING CONVENTIONAL TILLAGE)","76","","73",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (WATER MGMT PRACTICES USED)","64","","34",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (BENEFICIAL ORGANISMS APPLIED OR RELEASED)","14","","6",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (BIOLOGICAL PESTICIDES APPLIED)","29","","9",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (FLORAL LURES, ATTRACTANTS, REPELLANTS, PHERMONE TRAPS, OR BIOLOGICAL PEST CONTROLS USED)","21","","8",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (GROUND COVERS, MULCHES, OR OTHER PHYSICAL BARRIERS MAINTAINED)","64","","44",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (PESTICIDES WITH DIFFERENT MECHANISMS OF ACTION USED TO KEEP PEST FROM BECOMING RESISTANT TO PESTICIDES)","71","","29",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (SCOUTING DATA COMPARED TO PUBLISHED INFORMATION TO ASSIST DECISIONS)","51","","21",""
"SURVEY","2018","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (TRAP CROP GROWN TO MANAGE INSECTS)","9","","5",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE)","53","","51",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (PLANTING LOCATIONS PLANNED TO AVOID CROSS INFESTATION OF PESTS)","50","","31",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (PLANTING OR HARVESTING DATES ADJUSTED)","40","","31",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (ROTATED CROPS DURING PAST 3 YEARS)","93","","69",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (ROW SPACING, PLANT DENSITY, OR ROW DIRECTIONS ADJUSTED)","9","","18",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (DIAGNOSTIC LABORATORY SERVICES USED FOR PEST DETECTION VIA SOIL OR PLANT TISSUE ANALYSIS)","47","","48",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (FIELD MAPPING DATA USED TO ASSIST DECISIONS)","43","","47",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - ESTABLISHED PROCESS USED)","95","","83",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS DUE TO A PEST ADVISORY WARNING)","34","","25",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS DUE TO A PEST DEVELOPMENT MODEL)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS - NOT SCOUTED)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS BY CONDUCTING GENERAL OBSERVATIONS WHILE PERFORMING ROUTINE TASKS)","5","","17",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED - FOR PESTS OR BENEFICIAL ORGANISMS BY DELIBERATELY GOING TO THE CROP ACRES OR GROWING AREAS)","95","","83",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY EMPLOYEE)","2","","5",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","56","","61",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","35","","19",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","7","","15",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY OTHER)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES - BY PROCESSOR)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR DISEASES)","100","","91",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY EMPLOYEE)","2","","4",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","56","","55",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","35","","18",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","7","","23",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY OTHER)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES - BY PROCESSOR)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR INSECTS & MITES)","100","","100",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY EMPLOYEE)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY FARM SUPPLY COMPANY OR CHEMICAL DEALER)","56","","55",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY INDEPENDENT CROP CONSULTANT OR COMMERICAL SCOUT)","35","","18",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY OPERATOR, PARTNER, OR FAMILY MEMBER)","9","","27",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY OTHER)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS - BY PROCESSOR)","0","","0",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (SCOUTED FOR WEEDS)","100","","100",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (WEATHER DATA USED TO ASSIST DECISIONS)","90","","72",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, MONITORING","PRACTICE, MONITORING: (WRITTEN OR ELECTRONIC RECORDS KEPT TO TRACK THE ACTIVITY OF PESTS)","74","","72",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (CROP ACRES CULTIVATED FOR WEED CONTROL)","95","","92",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (EQUIPMENT & IMPLEMENTS CLEANED AFTER FIELD WORK TO REDUCE SPREAD OF PESTS)","91","","87",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (FIELD EDGES, DITCHES, OR FENCE LINES WERE CHOPPED, SPRAYED, MOWED, PLOWED, OR BURNED)","91","","93",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (NO-TILL OR MINIMUM TILL USED)","9","","14",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (PLOWED DOWN CROP RESIDUE USING CONVENTIONAL TILLAGE)","96","","92",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, PREVENTION","PRACTICE, PREVENTION: (WATER MGMT PRACTICES USED)","65","","52",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (BENEFICIAL ORGANISMS APPLIED OR RELEASED)","26","","29",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (BIOLOGICAL PESTICIDES APPLIED)","81","","60",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (FLORAL LURES, ATTRACTANTS, REPELLANTS, PHERMONE TRAPS, OR BIOLOGICAL PEST CONTROLS USED)","51","","44",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (GROUND COVERS, MULCHES, OR OTHER PHYSICAL BARRIERS MAINTAINED)","60","","62",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (PESTICIDES WITH DIFFERENT MECHANISMS OF ACTION USED TO KEEP PEST FROM BECOMING RESISTANT TO PESTICIDES)","87","","72",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (SCOUTING DATA COMPARED TO PUBLISHED INFORMATION TO ASSIST DECISIONS)","54","","29",""
"SURVEY","2018","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, SUPPRESSION","PRACTICE, SUPPRESSION: (TRAP CROP GROWN TO MANAGE INSECTS)","12","","10",""
"SURVEY","2018","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","VEGETABLE TOTALS","PRACTICE, AVOIDANCE","PRACTICE, AVOIDANCE: (CROP OR PLANT VARIETY CHOSEN FOR SPECIFIC PEST RESISTANCE)","27","","42",""
